npi_clean,summary_year,rndrng_prvdr_type,target_excluded_24m,score_catboost_final_v4
1215038310,2023,Clinical Laboratory,0,0.6416766434927016
1235131061,2023,Cardiology,0,0.606705238593277
1497759047,2023,Emergency Medicine,0,0.5768955903415989
1730631490,2023,Physician Assistant,0,0.37640351983208314
1427497676,2023,Cardiology,0,0.13500764403409032
1811039209,2023,Nurse Practitioner,0,0.09190877193039033
1528655214,2023,Physician Assistant,0,0.07641613063259713
1255737565,2023,Nurse Practitioner,0,0.049664748209702736
1013012277,2023,Nephrology,0,0.030501670721139833
1750599916,2023,Optometry,0,0.018929347849860823
